id,media_type,slug,role,rank,size,url,alt_text,caption,credit
1015,image,golf-balls,h,,large,images/large/golf-balls_large.webp,A view from the Apollo 14 lunar module. One of Alan Shepard's golf balls is visible beneath the javelin.,,https://www.space.com/apollo-14-moon-landing-golf-shot-analysis
1016,image,fallen-astronaut,o,,thumb,images/thumb/fallen-astronaut_thumb.webp,The Fallen Astronaut statue alongside the list of names.,,https://commons.wikimedia.org/w/index.php?curid=665189
1016,image,fallen-astronaut,,,medium,images/medium/fallen-astronaut_medium.webp,The Fallen Astronaut statue alongside the list of names.,,https://commons.wikimedia.org/w/index.php?curid=665189
1016,image,fallen-astronaut,h,,large,images/large/fallen-astronaut_large.webp,The Fallen Astronaut statue alongside the list of names.,,https://commons.wikimedia.org/w/index.php?curid=665189
1017,image,family-photo,o,,thumb,images/thumb/family-photo_thumb.webp,The photograph on the lunar surface.,,https://airandspace.si.edu/multimedia-gallery/duke-family-photo-full-sizejpeg
1017,image,family-photo,,,medium,images/medium/family-photo_medium.webp,The photograph on the lunar surface.,,https://airandspace.si.edu/multimedia-gallery/duke-family-photo-full-sizejpeg
1017,image,family-photo,h,,large,images/large/family-photo_large.webp,The photograph on the lunar surface.,,https://airandspace.si.edu/multimedia-gallery/duke-family-photo-full-sizejpeg
1018,image,moon-museum,o,,thumb,images/thumb/moon-museum_thumb.webp,One of the copies of Moon Museum.,,https://www.moma.org/collection/works/62272
1018,image,moon-museum,,,medium,images/medium/moon-museum_medium.webp,One of the copies of Moon Museum.,,https://www.moma.org/collection/works/62272
1018,image,moon-museum,h,,large,images/large/moon-museum_large.webp,One of the copies of Moon Museum.,,https://www.moma.org/collection/works/62272
1019,image,pioneer-10-plaque,o,,thumb,images/thumb/pioneer-10-plaque_thumb.webp,A detailed close up of the diagrams on the Pioneer plaques.,,https://science.nasa.gov/resource/pioneer-plaque/
1019,image,pioneer-10-plaque,,,medium,images/medium/pioneer-10-plaque_medium.webp,A detailed close up of the diagrams on the Pioneer plaques.,,https://science.nasa.gov/resource/pioneer-plaque/
1019,image,pioneer-10-plaque,h,,large,images/large/pioneer-10-plaque_large.webp,A detailed close up of the diagrams on the Pioneer plaques.,,https://science.nasa.gov/resource/pioneer-plaque/
1020,image,pioneer-11-plaque,o,,thumb,images/thumb/pioneer-11-plaque_thumb.webp,A detailed close up of the diagrams on the Pioneer plaques.,,https://science.nasa.gov/resource/pioneer-plaque/
1020,image,pioneer-11-plaque,,,medium,images/medium/pioneer-11-plaque_medium.webp,A detailed close up of the diagrams on the Pioneer plaques.,,https://science.nasa.gov/resource/pioneer-plaque/
1020,image,pioneer-11-plaque,h,,large,images/large/pioneer-11-plaque_large.webp,A detailed close up of the diagrams on the Pioneer plaques.,,https://science.nasa.gov/resource/pioneer-plaque/
1021,image,voyager-1-record,o,,thumb,images/thumb/voyager-1-record_thumb.webp,One of the Voyager Golden Records.,,https://commons.wikimedia.org/w/index.php?curid=6455682
1021,image,voyager-1-record,,,medium,images/medium/voyager-1-record_medium.webp,One of the Voyager Golden Records.,,https://commons.wikimedia.org/w/index.php?curid=6455682
1021,image,voyager-1-record,h,,large,images/large/voyager-1-record_large.webp,One of the Voyager Golden Records.,,https://commons.wikimedia.org/w/index.php?curid=6455682
1022,image,voyager-2-record,o,,thumb,images/thumb/voyager-2-record_thumb.webp,One of the Voyager Golden Records.,,https://commons.wikimedia.org/w/index.php?curid=6455682
1022,image,voyager-2-record,,,medium,images/medium/voyager-2-record_medium.webp,One of the Voyager Golden Records.,,https://commons.wikimedia.org/w/index.php?curid=6455682
1022,image,voyager-2-record,h,,large,images/large/voyager-2-record_large.webp,One of the Voyager Golden Records.,,https://commons.wikimedia.org/w/index.php?curid=6455682
1023,image,columbia-memorial,o,,thumb,images/thumb/columbia-memorial_thumb.webp,The Columbia memorial plaque on Mars,,https://www.jpl.nasa.gov/news/space-shuttle-columbia-crew-memorialized-on-mars/
1023,image,columbia-memorial,,,medium,images/medium/columbia-memorial_medium.webp,The Columbia memorial plaque on Mars,,https://www.jpl.nasa.gov/news/space-shuttle-columbia-crew-memorialized-on-mars/
1023,image,columbia-memorial,h,,large,images/large/columbia-memorial_large.webp,The Columbia memorial plaque on Mars,,https://www.jpl.nasa.gov/news/space-shuttle-columbia-crew-memorialized-on-mars/
1024,image,visions-of-mars,o,,thumb,images/thumb/visions-of-mars_thumb.webp,The DVD mounted onto the deck of the lander.,,https://www.planetary.org/outreach/visions-of-mars
1024,image,visions-of-mars,,,medium,images/medium/visions-of-mars_medium.webp,The DVD mounted onto the deck of the lander.,,https://www.planetary.org/outreach/visions-of-mars
1024,image,visions-of-mars,h,,large,images/large/visions-of-mars_large.webp,The DVD mounted onto the deck of the lander.,,https://www.planetary.org/outreach/visions-of-mars
1025,image,covid-19-memorial,o,,thumb,images/thumb/covid-19-memorial_thumb.webp,The plaque before mounting on the rover.,,https://www.jpl.nasa.gov/images/pia23921-healthcare-workers-to-be-honored-on-mars/
1025,image,covid-19-memorial,,,medium,images/medium/covid-19-memorial_medium.webp,The plaque before mounting on the rover.,,https://www.jpl.nasa.gov/images/pia23921-healthcare-workers-to-be-honored-on-mars/
1025,image,covid-19-memorial,h,,large,images/large/covid-19-memorial_large.webp,The plaque before mounting on the rover.,,https://www.jpl.nasa.gov/images/pia23921-healthcare-workers-to-be-honored-on-mars/
1026,image,lunar-library,o,,thumb,images/thumb/lunar-library_thumb.webp,The cover of the Lunar Library.,,https://medium.com/@novaspivack/there-is-now-a-30-million-page-backup-of-planet-earth-on-the-moon-d0504458aca1
1026,image,lunar-library,,,medium,images/medium/lunar-library_medium.webp,The cover of the Lunar Library.,,https://medium.com/@novaspivack/there-is-now-a-30-million-page-backup-of-planet-earth-on-the-moon-d0504458aca1
1026,image,lunar-library,h,,large,images/large/lunar-library_large.webp,The cover of the Lunar Library.,,https://medium.com/@novaspivack/there-is-now-a-30-million-page-backup-of-planet-earth-on-the-moon-d0504458aca1
1027,image,lucy-plaque,o,,thumb,images/thumb/lucy-plaque_thumb.webp,The lucy plaque.,,https://en.m.wikipedia.org/wiki/File:Lucy_Plaque.png
1027,image,lucy-plaque,,,medium,images/medium/lucy-plaque_medium.webp,The lucy plaque.,,https://en.m.wikipedia.org/wiki/File:Lucy_Plaque.png
1027,image,lucy-plaque,h,,large,images/large/lucy-plaque_large.webp,The lucy plaque.,,https://en.m.wikipedia.org/wiki/File:Lucy_Plaque.png
1028,image,ct-ashes,o,,thumb,images/thumb/ct-ashes_thumb.webp,,,
1028,image,ct-ashes,,,medium,images/medium/ct-ashes_medium.webp,,,
1028,image,ct-ashes,,,large,images/large/ct-ashes_large.webp,,,
1029,image,es-ashes,o,,thumb,images/thumb/es-ashes_thumb.webp,,,
1029,image,es-ashes,,,medium,images/medium/es-ashes_medium.webp,,,
1029,image,es-ashes,,,large,images/large/es-ashes_large.webp,,,
1030,image,solar-library,o,,thumb,images/thumb/solar-library_thumb.webp,The solar library.,,https://www.archmission.org/missions
1030,image,solar-library,,,medium,images/medium/solar-library_medium.webp,The solar library.,,https://www.archmission.org/missions
1030,image,solar-library,h,,large,images/large/solar-library_large.webp,The solar library.,,https://www.archmission.org/missions
